"Explain one way rural-urban migration affects rural areas.(2)",2,"Rural - urban migration means the movement of people into rural areas, meaning that the cities will become very busy"
"Explain one way rural-urban migration affects rural areas.(2)",2,"One way is that these areas lose lots of money and can’t buy things like schools and hospitals. Rural areas populations begin to decline, this means that there will be less money in the area and less local taxes meaning that infrastructure and services may suffer."
"Explain one way rural-urban migration affects rural areas.(2)",2,"Rural areas populations begin to decline, this means that there will be less money in the area and less local taxes meaning that infrastructure and services may suffer."
"Identify two features of the upper course of a river (2)",2,"Rivers and rocks"
"Identify two features of the upper course of a river (2)",2,"Meanders and v shaped valleys"
"Identify two features of the upper course of a river (2)",2,Steep sloped v shaped valleys and narrow river width
"Identify two landforms of deposition found at coast (2)",2,Wave cut niche and a big wave
"Identify two landforms of deposition found at coast (2)",2,"A spit, a landform created by the longshore drift process as sand moves perpendicular to the coast"
"Identify two landforms of deposition found at coast (2)",2,A spit and a tombolo
"Identify two landforms of deposition found at coast (2)",2,Sand dunes and offshore bars
"Identify two effects of rapid urbanisation in urban areas in developing countries (2)",2,Wealthy people from the rural areas bring in lots of money
"Identify two effects of rapid urbanisation in urban areas in developing countries (2)",2,Environmental damage caused by population rise + people immigrating
"Identify two effects of rapid urbanisation in urban areas in developing countries (2)",2,Rapid population growth and overcrowding + loss of green areas of parkland
"Identify two effects of rapid urbanisation in urban areas in developing countries (2)",2,A shortage of housing can occur as lots of people move into the area and take houses and space. Another is wastification as waste creates problems.
"Explain one way longer-term relief can reduce the impact of natural hazards (2)",2,Providing immediate aid can help to stop people from dying who were injured by the impacts of a storm or hazard.
"Explain one way longer-term relief can reduce the impact of natural hazards (2)",2,Hazard mapping can help to plan the response
"Explain one way longer-term relief can reduce the impact of natural hazards (2)",2,"Long term planning can help by communicating things like escape routes to the population. This means in the result of an earthquake or other hazard, the people know what to do and where to go so they don’t die from the hazard."
"Explain one way humans impact the discharge of a river (2)",2,They don’t affect it at all
"Explain one way humans impact the discharge of a river (2)",2,They affect the amount of water by putting more into it through sewers
"Explain one way humans impact the discharge of a river (2)",2,Impermeable surfaces like concrete that humans build mean that rain water gets into the river quicker through run off and so the discharge increases
"Explain the term lag time (2)",2,"Lag time is the time take for water to go through a river to the sea"
"Explain the term lag time (2)",2,Lag time
"For a named megacity explain two disadvantages of informal employment (4)",4,More cash can be made by everyone
"For a named megacity explain two disadvantages of informal employment (4)",4,"One disadvantage in Rio, Brazil, is the fact that the informal economy means that no taxes are paid. This means that less money is available to spend on services such as schools for the local population."
"For a named megacity explain two disadvantages of informal employment (4)",4,"One disadvantage in Rio, Brazil, is the fact that the informal economy means that no taxes are paid. This means that less money is available to spend on services such as schools for the local population. There is also a problem with job security, as there is no guarantee that informal jobs will continue and there is no pension or sick pay so people lack security."
"For a named megacity explain two disadvantages of informal employment (4)",4,"One issue is that people don’t know if they will get their next pay check. If their work is not guaranteed and they dont have a salary, they may not get paid the next month in informal jobs. Another reasons is that these jobs dont contribute to the economy as much. People dont pay taxes in informal jobs and dont pay as much."
"For a named megacity explain two disadvantages of informal employment (4)",4,"Manufacturing has declined in developed countries like the UK because many products are now being made in places abroad such as in India and China due to cheaper labor and production costs. This offshoring leads to factories closing down in the UK, causing a direct loss in secondary jobs. Additionally, as countries develop and individuals have more disposable income, there is a higher demand for services like education, events, and music. This growth in the tertiary sector diverts significant resources, including investment and skilled labor, away from the secondary sector, leading to its decline."
"Explain the formation of a flood plain",4,A flood plain is where floods go into a valley and move the sediment out of the river where it drops.
"Explain the formation of a flood plain",4,"In the middle and lower courses of a river, floods take sediment such as alluvium out of the channel where it is deposited. Over time this sediment builds up and creates a wide flat floodplain. Another factor is the erosion of the river through the river valley."
"Explain the formation of a flood plain",4,"In the middle and lower courses of a river, floods take sediment such as alluvium out of the channel where it is deposited. Over time this sediment builds up and creates a wide flat floodplain. Another factor is the erosion of the river through the river valley. The meandering process of a river as it moves side to side through the softer sedimentary rock and sediment deposits, carves a wide and flat valley either side of the river over time. Floodplains are often fertile due to nutrient rich deposits."
"Explain the formation of a flood plain",4,"Floodplains are created by the lateral erosion of river valleys. This sideways movement carves out a flat plain through a valley as the meanders migrate across over long periods of time. The other factor is the deposition of sediment. When a river floods, it leaves fine particles of alluvium behind when it runs out of energy, this builds up over time creating a consistent, wide and flat valley."
"Explain two ways that growth in tourism has had a negative impacts on rural environments (4)",4,One way is that it helps peoplem to get jobs meaning they have more money in the area. People with more money are happier and more content
"Explain two ways that growth in tourism has had a negative impacts on rural environments (4)",4,Two ways are that trampling of the ground at tourist sites wears away the soil and can impact animals habitats.
"Explain two ways that growth in tourism has had a negative impacts on rural environments (4)",4,Two ways are that trampling of the ground at tourist sites wears away the soil and can impact animals habitats. The second way is through deforestation because of building places for tourists to stay and eat etc. This tourist infrastructure means there is less land available for nature and wildlife.
"Explain two ways human activity has reduced water quality (4)",4,Humans burn fossil fuels which had co2 to the atmosphere and rivers
"Explain two ways human activity has reduced water quality (4)",4,"Humans create waste through sewage, some of this ends up being dumped into rivers where it makes the water poisonous to drink. They also create chemicals from farming which go in the river."
"Explain two ways human activity has reduced water quality (4)",4,"Humans farm and in this process create nitrogen fertilisers, these can end up being washed into the rivers and causing etrophication where algae blooms and suffocates the water, meaning that it doesn't get naturally cleaned by the plants within it, making the water less potable. They also throw their rubbish and litter into sources of water, this combined with industrial waste, causes huge amounts of micro plastics to end up in the water meaning that water quality is lowered."
