2,River Environments,['Question: Explain one fluvial process involved in river valley and river channel formation and a factor that affects this process. [2 Mark(s)].']
4,River Environments,['Question: Explain how the processes of erosion and deposition contribute to the formation of meanders in a river channel. [4 Mark(s)].']
6,River Environments,['Question: Assess the factors that influence the changes in the shape of a river channel and the profile of its valley along its course. [6 Mark(s)].']
8,River Environments,"['Question: Evaluate the impact of various factors such as precipitation, temperature, vegetation, land use, water abstraction, and dams on the regime of a river of your choice. [8 Mark(s)].']"
2,River Environments,['Question: Identify two features of a drainage basin. [2 Mark(s)].']
4,River Environments,['Question: Explain how vegetation and land use can impact the river regimes in a drainage basin. [4 Mark(s)].']
6,River Environments,['Question: Assess the impact of industrial waste and agricultural pollution on the quality of water in river environments. [6 Mark(s)].']
8,River Environments,"['Question: Analyse the impact that factors such as precipitation, temperature, vegetation, land use, water abstraction, and dams can have on river regimes, using examples to support your answer. [8 Mark(s)].']"
2,Coastal environments ,['Question: Identify two hard engineering strategies used in coastal management. [2 Mark(s)]']
4,Coastal environments ,['Question: Explain how the process of longshore drift contributes to the formation of spits along the coastline. [4 Mark(s)].']
6,Coastal environments ,['Question: Assess the effectiveness of both soft and hard engineering strategies in managing the risks of coastal flooding. [6 Mark(s)].']
8,Coastal environments ,"['Question: Evaluate the influence of marine processes such as wave action, erosion, deposition and transportation, including longshore drift, on the development of coastal landforms such as headlands, bays, cliffs, wavecut platforms, caves, arches, stacks and stumps. [8 Mark(s)].']"
2,Coastal environments ,['Question: Identify two physical processes that contribute to the formation of headlands and bays along the coastline. [2 Mark(s)].']
4,Coastal environments ,['Question: Explain how storm surges and tsunamis can contribute to coastal flooding and suggest two methods for predicting and preventing such events. [4 Mark(s)].']
6,Coastal environments ,"['Question: Assess the impact of human activities such as industrialisation, tourism and deforestation on the biotic and abiotic characteristics of a named coastal ecosystem. [6 Mark(s)].']"
8,Coastal environments ,"['Question: Assess the impact of industrialisation, agricultural practices, tourism and deforestation on a named large-scale coastal ecosystem of your choice. [8 Mark(s)].']"
6,Hazardous environments ,"[""Question: Assess the longer-term impacts of a tropical cyclone hazard on a chosen region's physical, social and economic conditions. [6 Mark(s)].""]"
8,Hazardous environments ,"['Question: Evaluate the effectiveness of preparation methods including warning and evacuation systems, building design, and the use of remote sensing and GIS in mitigating the impact of earthquakes. [8 Mark(s)].']"
2,Hazardous environments ,"['Question: Identify two causes of volcanic hazards, including the role of plate boundaries and hotspots. [2 Mark(s)].']"
4,Hazardous environments ,['Question: Explain how social and economic factors contribute to the vulnerability of some countries to the impacts of natural hazards. [4 Mark(s)].']
