2,River environments,['Question: Explain one way in which human activity can influence the rate of river erosion. [2 Mark(s)].']
4,River environments,['Question: Explain how human activities can contribute to an increase in flood risk in river environments. [4 Marks]']
6,River environments,['Question: Assess the impact of human activities on river environments and suggest ways in which these impacts can be managed. [6 Mark(s)].']
8,River environments,"['Question: Evaluate the physical and human factors that contribute to the formation and impact of river environments, using relevant case studies to support your argument. [8 Mark(s)].']"
2,River environments,"[""Question: Explain the meaning of 'river deposition' and 'river erosion' in the context of river environments. [2 Mark(s)].""]"
4,River environments,['Question: Explain how human intervention can impact the natural processes in a river environment. [4 Mark(s)].']
6,River environments,"['Question: Assess the impacts of river flooding on the people and the environment, using examples from your studies. [6 Mark(s)].']"
8,River environments,['Question: Evaluate the potential physical and human factors that contribute to the risk of flooding in a river environment of your choosing. [8 Mark(s)].']
2,Coastal environments,['Question: Explain one way in which human activity can contribute to coastal erosion. [2 Mark(s)].']
4,Coastal environments,['Question: Explain how the process of longshore drift contributes to the formation of a spit in a coastal environment. [4 Mark(s)].']
6,Coastal environments,['Question: Assess the impacts of human activities on the physical features of coastal environments. [6 Mark(s)].']
8,Coastal environments,['Question: Analyse the processes that contribute to the formation of coastal landscapes and assess their impact on the human activities occurring within these environments. [8 Mark(s)].']
2,Coastal environments,['Question: Explain one way in which coastal management can impact local ecosystems. [2 Marks].']
4,Coastal environments,['Question: Explain how wave-cut platforms are formed in a coastal environment. [4 Mark(s)].']
6,Coastal environments,['Question: Assess the influence of coastal erosion and deposition in shaping distinctive coastal landforms. [6 Mark(s)]']
8,Coastal environments,['Question: Analyse the impacts of coastal erosion and sea level rise on local communities and discuss the effectiveness of different coastal management strategies in mitigating these impacts. [8 Mark(s)].']
2,Hazardous environments,['Question: Explain one way in which volcanic eruptions can influence the climate. [2 Marks].']
4,Hazardous environments,['Question: Explain how the location and magnitude of an earthquake can impact the level of damage caused. [4 Mark(s)].']
6,Hazardous environments,['Question: Assess the impact of human activities on the frequency and intensity of natural hazards in hazardous environments. [6 Mark(s)].']
8,Hazardous environments,['Question: Evaluate the effectiveness of different strategies used to manage the risk and impact of earthquakes. [8 Mark(s)].']
2,Hazardous environments,['Question: Suggest two strategies that could be used to manage the risk of volcanic eruptions. [2 Mark(s)].']
4,Hazardous environments,['Question: Explain the formation and impact of a volcanic eruption in a densely populated area. [4 Marks].']
6,Hazardous environments,"['Question: Assess the social, economic and environmental impacts of a volcanic eruption in a developed country. [6 Mark(s)].']"
8,Hazardous environments,['Question: Evaluate the effectiveness of different strategies used to manage the risks associated with living in a hazardous environment. [8 Mark(s)].']
2,Physical Geography Fieldwork,['Question: Explain one method and its importance that geographers use to measure the speed of a river. [2 Mark(s)].']
4,Physical Geography Fieldwork,['Question: Explain how the process of longshore drift can impact the formation of a spit in coastal landscapes. [4 Mark(s)].']
6,Physical Geography Fieldwork,['Question: Assess the importance of data collection methods in the study of coastal erosion and suggest how these methods could be improved for more accurate results. [6 Mark(s)].']
8,Physical Geography Fieldwork,"[""Question: Evaluate the effectiveness of different data collection methods used in physical geography fieldwork to study a river's characteristics and processes. [8 Mark(s)].""]"
2,Physical Geography Fieldwork,['Question: Explain one method a geographer might use to measure the speed of a river during a fieldwork investigation. [2 Mark(s)].']
4,Physical Geography Fieldwork,['Question: Explain how the process of longshore drift can influence the formation of spits and bars along a coastline. [4 Mark(s)].']
