2,River Environments,['Question: Explain one fluvial process involved in river valley formation and one factor affecting this process. [2 Mark(s)].']
4,River Environments,"['Question: Explain how different factors such as precipitation, temperature, vegetation, land use, water abstraction, and dams can affect river regimes. [4 Mark(s)].']"
6,River Environments,"['Question: Assess the influence of climate, slope, geology and altitude on the fluvial processes involved in the formation of a river valley and river channel. [6 Mark(s)].']"
8,River Environments,['Question: Evaluate the impact of both human and physical factors on the variations in water quality across different regions. [8 Mark(s)].']
2,River Environments,['Question: Identify two causes of river flooding related to urbanisation. [2 Mark(s)].']
4,River Environments,"['Question: Explain how the shape of a river channel (width, depth) and the valley profile (long and cross profiles) can change along the course of a named river. [4 Mark(s)].']"
6,River Environments,"['Question: Assess the impact of fluvial processes, such as erosion, transportation, and deposition, on the formation of distinctive upland and lowland landforms such as valleys, meanders, oxbow lakes, flood plains and levees in a named river. [6 Mark(s)].']"
8,River Environments,"['Question: Evaluate the potential impacts of variations in water quality, including pollution from various sources and the storage and supply of clean water, on both human and physical environments. [8 Mark(s)].']"
2,Coastal environments ,['Question: Explain one role of erosional processes in the development of cliffs along the coast. [2 Mark(s)].']
4,Coastal environments ,['Question: Explain the conflicts that may arise between conservationists and developers in relation to coastal management strategies. [4 Mark(s)].']
6,Coastal environments ,['Question: Assess the impacts of industrialisation and tourism on the health and sustainability of a chosen coastal ecosystem. [6 Mark(s)].']
8,Coastal environments ,"['Question: Analyse the effectiveness of different coastal management strategies including soft engineering, hard engineering and shoreline management plans, with reference to specific case studies. [8 Mark(s)].']"
2,Coastal environments ,['Question: Identify two hard engineering strategies used in coastal management. [2 Mark(s)].']
4,Coastal environments ,['Question: Explain the conflicts that may arise between conservation and development in the management of coastal environments. [4 Mark(s)].']
6,Coastal environments ,"['Question: Assess the impact of human activities such as industrialisation, agricultural practices, tourism and deforestation on a large-scale coastal ecosystem of your choice. [6 Mark(s)].']"
8,Coastal environments ,"['Question: Evaluate the role of marine processes such as wave action, erosion, deposition and transportation, including longshore drift, in the development of coastal landforms such as headlands, bays, cliffs, wave cut platforms, caves, arches, stacks, stumps, beaches, spits and bars. [8 Mark(s)].']"
2,Hazardous environments ,['Question: Explain one reason why people continue to live in areas at risk from hazard events. [2 Mark(s)].']
4,Hazardous environments ,['Question: Explain how GIS and remote sensing can assist in the preparation for earthquakes. [4 Mark(s)].']
6,Hazardous environments ,['Question: Assess the role of plate boundaries and hotspots in causing volcanic and earthquake hazards. [6 Mark(s)].']
8,Hazardous environments ,"['Question: Evaluate the effectiveness of both short-term responses and relief efforts, such as emergency aid and shelter supplies, and longer-term planning strategies, such as risk assessment and hazard mapping, in managing the aftermath of a major earthquake. [8 Mark(s)].']"
2,Hazardous environments ,['Question: Explain one reason why people continue to live in areas at risk from hazard events. [2 Mark(s)].']
4,Hazardous environments ,['Question: Explain how remote sensing and GIS are used in the preparation for earthquakes. [4 Mark(s)].']
6,Hazardous environments ,"['Question: Assess the reasons why some countries are more vulnerable (physically, socially and economically) than others to the impacts of natural hazards. [6 Mark(s)].']"
8,Hazardous environments ,"['Question: Analyse the effectiveness of both short-term responses and longer-term planning strategies used to mitigate the impacts of earthquakes, using examples you have studied. [8 Mark(s)].']"
2,Economic activity and energy ,['Question: Identify two factors that can affect the location of economic activity in the primary economic sector. [2 Mark(s)].']
